ID,Full Name,Email,Phone Number,Date of Birth,Class,Math Marks,Science Marks,English Marks,History Marks,Geography Marks
1055,Reyansh Verma,reyansh.verma@example.com,9876543264,05-08-2007,6,,,,,
1056,Krishna Reddy,krishna.reddy@example.com,9876543265,06-09-2007,6,,,,,
1057,Anaya Mehta,anaya.mehta@example.com,9876543266,07-10-2007,6,,,,,
1058,Navya Rao,navya.rao@example.com,9876543267,08-11-2007,6,,,,,
1059,Diya Joshi,diya.joshi@example.com,9876543268,09-12-2007,6,,,,,
1060,Viha Kumar,viha.kumar@example.com,9876543269,10-01-2007,6,,,,,
1061,Aarav Sharma,aarav.sharma@example.com,9876543270,01-04-2006,7,,,,,
1062,Vihaan Patel,vihaan.patel@example.com,9876543271,02-05-2006,7,,,,,
1063,Aditya Singh,aditya.singh@example.com,9876543272,03-06-2006,7,,,,,
1064,Arjun Gupta,arjun.gupta@example.com,9876543273,04-07-2006,7,,,,,
1065,Reyansh Verma,reyansh.verma@example.com,9876543274,05-08-2006,7,,,,,
1066,Krishna Reddy,krishna.reddy@example.com,9876543275,06-09-2006,7,,,,,
1067,Anaya Mehta,anaya.mehta@example.com,9876543276,07-10-2006,7,,,,,
1068,Navya Rao,navya.rao@example.com,9876543277,08-11-2006,7,,,,,
1069,Diya Joshi,diya.joshi@example.com,9876543278,09-12-2006,7,,,,,
1070,Viha Kumar,viha.kumar@example.com,9876543279,10-01-2006,7,,,,,
1071,Aarav Sharma,aarav.sharma@example.com,9876543280,01-04-2005,8,,,,,
1072,Vihaan Patel,vihaan.patel@example.com,9876543281,02-05-2005,8,,,,,
1073,Aditya Singh,aditya.singh@example.com,9876543282,03-06-2005,8,,,,,
1074,Arjun Gupta,arjun.gupta@example.com,9876543283,04-07-2005,8,,,,,
1075,Reyansh Verma,reyansh.verma@example.com,9876543284,05-08-2005,8,,,,,
1076,Krishna Reddy,krishna.reddy@example.com,9876543285,06-09-2005,8,,,,,
1077,Anaya Mehta,anaya.mehta@example.com,9876543286,07-10-2005,8,,,,,
1078,Navya Rao,navya.rao@example.com,9876543287,08-11-2005,8,,,,,
1079,Diya Joshi,diya.joshi@example.com,9876543288,09-12-2005,8,,,,,
1080,Viha Kumar,viha.kumar@example.com,9876543289,10-01-2005,8,,,,,
1081,Aarav Sharma,aarav.sharma@example.com,9876543290,01-04-2004,9,,,,,
1082,Vihaan Patel,vihaan.patel@example.com,9876543291,02-05-2004,9,,,,,
1083,Aditya Singh,aditya.singh@example.com,9876543292,03-06-2004,9,,,,,
1084,Arjun Gupta,arjun.gupta@example.com,9876543293,04-07-2004,9,,,,,
1085,Reyansh Verma,reyansh.verma@example.com,9876543294,05-08-2004,9,,,,,
1086,Krishna Reddy,krishna.reddy@example.com,9876543295,06-09-2004,9,,,,,
1087,Anaya Mehta,anaya.mehta@example.com,9876543296,07-10-2004,9,,,,,
1088,Navya Rao,navya.rao@example.com,9876543297,08-11-2004,9,,,,,
1089,Diya Joshi,diya.joshi@example.com,9876543298,09-12-2004,9,,,,,
1090,Viha Kumar,viha.kumar@example.com,9876543299,10-01-2004,9,,,,,
1091,Aarav Sharma,aarav.sharma@example.com,9876543300,01-04-2003,10,,,,,
1092,Vihaan Patel,vihaan.patel@example.com,9876543301,02-05-2003,10,,,,,
1093,Aditya Singh,aditya.singh@example.com,9876543302,03-06-2003,10,,,,,
1094,Arjun Gupta,arjun.gupta@example.com,9876543303,04-07-2003,10,,,,,
1095,Reyansh Verma,reyansh.verma@example.com,9876543304,05-08-2003,10,,,,,
1096,Krishna Reddy,krishna.reddy@example.com,9876543305,06-09-2003,10,,,,,
1097,Anaya Mehta,anaya.mehta@example.com,9876543306,07-10-2003,10,,,,,
1098,Navya Rao,navya.rao@example.com,9876543307,08-11-2003,10,,,,,
1099,Diya Joshi,diya.joshi@example.com,9876543308,09-12-2003,10,,,,,
1100,Viha Kumar,viha.kumar@example.com,9876543309,10-01-2003,10,,,,,
1101,Aarav Sharma,aarav.sharma@example.com,9876543310,01-04-2002,11,,,,,
1102,Vihaan Patel,vihaan.patel@example.com,9876543311,02-05-2002,11,,,,,
1103,Aditya Singh,aditya.singh@example.com,9876543312,03-06-2002,11,,,,,
1104,Arjun Gupta,arjun.gupta@example.com,9876543313,04-07-2002,11,,,,,
1105,Reyansh Verma,reyansh.verma@example.com,9876543314,05-08-2002,11,,,,,
1106,Krishna Reddy,krishna.reddy@example.com,9876543315,06-09-2002,11,,,,,
1107,Anaya Mehta,anaya.mehta@example.com,9876543316,07-10-2002,11,,,,,
1108,Navya Rao,navya.rao@example.com,9876543317,08-11-2002,11,,,,,
1109,Diya Joshi,diya.joshi@example.com,9876543318,09-12-2002,11,,,,,
1110,Viha Kumar,viha.kumar@example.com,9876543319,10-01-2002,11,,,,,
1111,Aarav Sharma,aarav.sharma@example.com,9876543320,01-04-2001,12,,,,,
1112,Vihaan Patel,vihaan.patel@example.com,9876543321,02-05-2001,12,,,,,
1113,Aditya Singh,aditya.singh@example.com,9876543322,03-06-2001,12,,,,,
1114,Arjun Gupta,arjun.gupta@example.com,9876543323,04-07-2001,12,,,,,
1115,Reyansh Verma,reyansh.verma@example.com,9876543324,05-08-2001,12,,,,,
1116,Krishna Reddy,krishna.reddy@example.com,9876543325,06-09-2001,12,,,,,
1117,Anaya Mehta,anaya.mehta@example.com,9876543326,07-10-2001,12,,,,,
1118,Navya Rao,navya.rao@example.com,9876543327,08-11-2001,12,,,,,
1119,Diya Joshi,diya.joshi@example.com,9876543328,09-12-2001,12,,,,,
1120,Viha Kumar,viha.kumar@example.com,9876543329,10-01-2001,12,,,,,
